Team,SeasonsPlayed,AvgPointsPerSeason,TotalPointsAllSeasons
Man United,31,27.37,848.5
Arsenal,31,25.81,800.0
Liverpool,31,25.21,781.5
Chelsea,31,25.1,778.0
Man City,26,23.81,619.0
Tottenham,31,21.45,665.0
Leeds,14,19.93,279.0
Newcastle,29,19.34,561.0
Blackburn,17,19.32,328.5
Everton,31,19.05,590.5
Aston Villa,28,18.61,521.0
Wimbledon,7,18.0,126.0
Leicester,17,17.74,301.5
West Ham,28,17.68,495.0
Brentford,3,17.67,53.0
Sheffield Weds,7,17.64,123.5
Brighton,7,17.21,120.5
Nott'm Forest,6,17.08,102.5
Stoke,10,17.05,170.5
Coventry,8,16.94,135.5
Southampton,23,16.76,385.5
Charlton,8,16.75,134.0
Middlesbrough,14,16.64,233.0
Swansea,7,16.43,115.0
Bolton,13,16.38,213.0
Birmingham,7,16.29,114.0
Fulham,17,16.15,274.5
Crystal Palace,14,16.11,225.5
Wolves,10,16.05,160.5
Portsmouth,7,15.93,111.5
Ipswich,4,15.88,63.5
Bournemouth,7,15.57,109.0
Oldham,1,15.5,15.5
Wigan,8,15.38,123.0
QPR,6,15.08,90.5
Derby,7,14.71,103.0
Sunderland,16,14.53,232.5
Burnley,9,14.5,130.5
Blackpool,1,14.5,14.5
Reading,3,14.5,43.5
West Brom,13,14.35,186.5
Norwich,9,14.0,126.0
Watford,8,13.25,106.0
Sheffield United,5,13.1,65.5
Hull,5,13.0,65.0
Barnsley,1,12.5,12.5
Swindon,1,12.5,12.5
Bradford,2,12.0,24.0
Cardiff,2,11.75,23.5
Huddersfield,2,10.25,20.5
Luton,1,10.0,10.0
